item,name,homepage_url,repo_url,logo,crunchbase,twitter,category,subcategory,project,license,description,stock_ticker,additional_repos,url_for_bestpractices,organization.name
,Neural Network Distiller,https://nervanasystems.github.io/distiller/,https://github.com/IntelLabs/distiller,distiller.svg,https://www.crunchbase.com/organization/intel,,Deep Learning,Tool,,,,,,,
,Plaid ML,https://www.intel.com/content/www/us/en/artificial-intelligence/plaidml.html,https://github.com/plaidml/plaidml,plaidml.svg,https://www.crunchbase.com/organization/intel,https://twitter.com/plaidml,Deep Learning,Tool,,,,,,,
,PyTorch BigGraph,https://torchbiggraph.readthedocs.io/en/latest/,https://github.com/facebookresearch/PyTorch-BigGraph,pytorch-biggraph.svg,https://www.crunchbase.com/organization/facebook,,Deep Learning,Tool,,,,,,,
,PyTorch Geometric,https://pytorch-geometric.readthedocs.io/en/latest,https://github.com/pyg-team/pytorch_geometric,pytorch-geometric.svg,https://www.crunchbase.com/organization/tu-dortmund-university,,Deep Learning,Tool,,,,,,,
,TVM,https://tvm.ai/,https://github.com/apache/tvm,tvm.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheTVM,Deep Learning,Tool,,,,,,,
,DataPractices,https://datapractices.org/,https://github.com/datapractices/data-practices-site,datapractices.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Education,incubating,,,,,,
,OpenDS4All,https://github.com/odpi/OpenDS4All,https://github.com/odpi/OpenDS4All,opends4all.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Education,incubating,,,,,,
,OpenBytes,https://www.openbytes.io/,https://github.com/Project-OpenBytes/OpenBytes,openbytes.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Lineage,sandbox,,,,,,
,OpenDataology,https://github.com/OpenDataology/,https://github.com/OpenDataology/OpenDataology,OpenDataology.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Lineage,sandbox,,,,,,
,OpenLineage,https://github.com/OpenLineage,https://github.com/OpenLineage/OpenLineage,openlineage.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,https://twitter.com/OpenLineage,Data,Lineage,incubating,,,,,,
,CouchDB,https://iceberg.apache.org/,https://github.com/apache/couchdb,couchdb.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/CouchDB,Data,Relational DB,,,,,,,
,MySQL,https://www.mysql.com/,https://github.com/mysql/mysql-server,mysql.svg,https://www.crunchbase.com/organization/oracle,https://twitter.com/MySQL,Data,Relational DB,,,,,,,
,Postgres,https://www.postgresql.org,https://github.com/postgres/postgres,postgresql.svg,https://www.crunchbase.com/organization/postgresql,https://twitter.com/PostgreSQL,Data,Relational DB,,,,,,,
,TiKV,https://tikv.org,https://github.com/tikv/tikv,tikv.svg,https://www.crunchbase.com/organization/cloud-native-computing-foundation,https://twitter.com/tikvproject,Data,Relational DB,,,,,,,
,LakeSoul,https://www.dmetasoul.com/en/docs/lakesoul/,https://github.com/meta-soul/LakeSoul,lakesoul.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Store & Format,sandbox,Apache 2.0,,,,,
,Docarrary,https://docarray.jina.ai/,https://github.com/docarray/docarray,docarray.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Data,Store & Format,sandbox,Apache 2.0,,,,,
,Alluxio,https://www.alluxio.io/,https://github.com/alluxio/alluxio,alluxio.svg,https://www.crunchbase.com/organization/alluxio,https://twitter.com/alluxio,Data,Store & Format,,,,,,,
,Apache Iceberg,https://iceberg.apache.org/,https://github.com/apache/iceberg,iceberg.svg,https://www.crunchbase.com/organization/apache,,Data,Store & Format,,,,,,,
,Apache ORC,https://orc.apache.org/,https://github.com/apache/orc,apache-orc.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/apacheorc,Data,Store & Format,,,,,,,
,AresDB,https://eng.uber.com/aresdb/,https://github.com/uber/aresdb,aresdb.svg,https://www.crunchbase.com/organization/uber,,Data,Store & Format,,,,,,,
,Arrow,https://arrow.apache.org/,https://github.com/apache/arrow,arrow.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheArrow,Data,Store & Format,,,,,,,
,Avro,https://avro.apache.org/,https://github.com/apache/avro,avro.svg,https://www.crunchbase.com/organization/apache,,Data,Store & Format,,,,,,,
,Ceph,https://www.ceph.io/en/,https://github.com/ceph/ceph,ceph.svg,https://www.crunchbase.com/organization/red-hat,https://twitter.com/Ceph,Data,Store & Format,,,,,,,
,Delta Lake,https://delta.io/,https://github.com/delta-io/delta,deltalake.svg,https://www.crunchbase.com/organization/databricks,https://twitter.com/DeltaLakeOSS,Data,Store & Format,,,,,,,
,Druid,https://druid.apache.org/,https://github.com/apache/druid,apache-druid.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/druidio,Data,Store & Format,,,,,,,
,Hudi,https://eng.uber.com/hoodie/,https://github.com/apache/hudi,hudi.svg,https://www.crunchbase.com/organization/uber,,Data,Store & Format,,,,,,,
,HugeGraph,https://hugegraph.apache.org/,https://github.com/apache/incubator-hugegraph,hugegraph.svg,https://www.crunchbase.com/organization/apache,,Data,Store & Format,,,,,,,
,InfluxDB,https://www.influxdata.com/,https://github.com/influxdata/influxdb,influx.svg,https://www.crunchbase.com/organization/influxdb,,Data,Store & Format,,,,,,,
,JanusGraph,https://janusgraph.org/,https://github.com/JanusGraph/janusgraph,janusgraph.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,https://twitter.com/janusgraph,Data,Store & Format,incubating,,,,,,
,Milvus,https://milvus.io,https://github.com/milvus-io/milvus,milvus.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,https://twitter.com/milvusio,Data,Store & Format,graduated,,,,,,
,pandas,https://pandas.pydata.org/,https://github.com/pandas-dev/pandas,pandas.svg,https://www.crunchbase.com/organization/ursa-computing,https://twitter.com/pandas_dev,Data,Store & Format,,,,,,,
,Parquet,https://parquet.apache.org/,https://github.com/apache/parquet-format,parquet.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/apacheparquet,Data,Store & Format,,,,,,,
,Pilosa,https://www.pilosa.com/,https://github.com/pilosa/pilosa,pilosa.svg,https://www.crunchbase.com/organization/pilosa,,Data,Store & Format,,,,,,,
,VEARCH,https://vearch.github.io/,https://github.com/vearch/vearch,vearch.svg,https://www.crunchbase.com/organization/jd-com,https://twitter.com/ai_vearch,Data,Store & Format,,,,,,,
,Vespa,https://vespa.ai/,https://github.com/vespa-engine/vespa,vespa.svg,https://www.crunchbase.com/organization/verizon-media,https://twitter.com/vespaengine,Data,Store & Format,,,,,,,
,Vineyard,https://v6d.io/,https://github.com/v6d-io/v6d,vineyard.svg,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,Data,Store & Format,,,Vineyard (v6d) is an in-memory immutable data manager.,,,,
,dotmesh,https://dotmesh.com/,https://github.com/dotmesh-io/dotmesh,dotmesh.svg,https://www.crunchbase.com/organization/dotscience,,Data,Versioning,,,,,,,
,DVC,https://dvc.org/,https://github.com/iterative/dvc,dvc.svg,https://www.crunchbase.com/organization/iterative,https://twitter.com/iterativeai,Data,Versioning,,,,,,,
,Quilt Data,https://docs.quiltdata.com/,https://github.com/quiltdata/quilt,quiltdata.svg,https://www.crunchbase.com/organization/quilt-data,,Data,Versioning,,,,,,,
